"Year_int","Country","EU_membership_bad","EU_membership_not_beneficial"
2007,"FI",33.93,46.74
2007,"FR",27.21,39.33
2007,"UK",30.05,56.01
2007,"GR",32.93,21.91
2007,"IE",15.4,8.06
2007,"IT",30.78,41.24
2007,"LU",11.86,23.43
2007,"NL",14.41,24.82
2007,"PT",27.89,26.58
2007,"SE",24.99,47.82
2007,"DE",23.52,37.31
2008,"AT",38.98,52.34
2008,"BE",23.59,28.82
2008,"DE",25.94,36.81
2008,"DK",20.2,18.69
2008,"ES",21.15,22.91
2008,"FI",34.76,44.55
2008,"FR",31.48,44.2
2008,"UK",32.13,58.01
2008,"GR",42.41,27.76
2008,"IE",17.68,10.26
2008,"IT",39.23,48.39
2008,"LU",17.55,22.86
2008,"NL",13.59,22.87
2008,"PT",29.06,30.13
2008,"SE",23.17,41.57
2009,"AT",37.54,48.9
2009,"BE",23.24,28.92
2009,"DE",26.3,35.85
2009,"DK",20.08,18.98
2009,"ES",21.44,24.74
2009,"FI",29.35,38.38
2009,"FR",29.58,40.18
2009,"UK",34.29,60.32
2009,"GR",32.84,29.65
2009,"IE",16.1,11
2009,"IT",33.44,41.97
2009,"LU",15.1,18.89
2009,"NL",16.5,20.65
2009,"PT",26.78,27.7
2009,"SE",24.81,41.17
2010,"AT",40.44,54.13
2010,"BE",23.2,31.32
2010,"DE",27.72,47.69
2010,"DK",21.06,19.19
2010,"ES",24.37,30.82
2010,"FI",31.03,43.38
2010,"FR",29.6,42.36
2010,"UK",32.89,61.34
2010,"GR",35.08,36.5
2010,"IE",18.95,15.74
2010,"IT",32.32,43.16
2010,"LU",16.6,23.93
2010,"NL",18.68,28.15
2010,"PT",33.2,40.6
2010,"SE",24.76,41.56
2011,"AT",36.38,52.25
2011,"BE",22.3,28.93
2011,"DK",27.76,25.16
2011,"ES",23.44,33.96
2011,"FI",32.93,38.44
2011,"FR",34.07,44.02
2011,"UK",37.82,61.58
2011,"GR",28.25,51.9
2011,"IE",18.97,13.67
2011,"IT",38.27,48.32
2011,"LU",12.65,20.56
2011,"NL",18.82,28.03
2011,"PT",30.78,43.3
2011,"SE",25.56,39.65
2011,"DE",27.08,44.89
2012,"AT",39.14,NA
2012,"BE",24.19,NA
2012,"DK",22.95,NA
2012,"ES",28.75,NA
2012,"FI",29.74,NA
2012,"FR",30.56,NA
2012,"UK",34.71,NA
2012,"GR",34.78,NA
2012,"IE",28.57,NA
2012,"IT",39.75,NA
2012,"LU",12.25,NA
2012,"NL",19.96,NA
2012,"PT",32.15,NA
2012,"SE",25.59,NA
2012,"DE",21.59,NA
2013,"AT",36.89,49.5
2013,"BE",23.95,29.42
2013,"DE",22.93,32.93
2013,"DK",22.75,19.01
2013,"ES",26.49,44.15
2013,"FI",30.73,39.1
2013,"FR",32.06,41.71
2013,"UK",36.21,57.1
