Year,Age,Germans M,Germans F,Foreigners M,Foreigners F
2013,45 years,596234,584938,69113,64085
2013,46 years,619887,609397,64038,58727
2013,47 years,640708,629216,64140,57788
2013,48 years,645731,632232,63651,56196
2013,49 years,660223,649447,61910,53933
2013,50 years,657867,649277,57749,49553
2013,51 years,637662,631583,53180,47282
2013,52 years,631779,629028,47061,42857
2013,53 years,607643,606302,47151,43598
2013,54 years,594128,593044,42653,39461
2013,55 years,559575,560538,40635,37473
2013,56 years,545949,550030,39225,35905
2013,57 years,526884,534228,39608,37044
2013,58 years,509364,519076,35537,37806
2013,59 years,497555,513141,31638,37681
2013,60 years,480512,498632,28192,36304
2013,61 years,477311,495981,28870,38015
2013,62 years,466745,488302,27879,34841
2013,63 years,459946,483242,32307,38987
2013,64 years,442824,467096,32621,36343
2014,15 years,366139,346258,38380,35884
2014,16 years,373459,354657,40903,36980
2014,17 years,385223,366290,43008,38116
2014,18 years,379780,360084,46741,39614
2014,19 years,369180,350429,51840,43823
2014,20 years,374207,355285,58509,51172
2014,21 years,388065,369418,61970,55504
2014,22 years,394332,377891,65492,58207
2014,23 years,410914,393420,71076,63408
2014,24 years,454990,434863,78349,69256
2014,25 years,447577,429468,81289,72357
2014,26 years,461896,441023,84831,74425
2014,27 years,453335,432830,84004,74192
2014,28 years,445064,428499,83012,74049
2014,29 years,428432,413329,82581,74633
2014,30 years,428154,412188,81771,75807
2014,31 years,430463,415393,80410,76781
2014,32 years,439675,425197,82622,79841
2014,33 years,433875,423962,82226,81117
2014,34 years,432193,424979,84666,82761
2014,35 years,410800,403373,82086,81477
2014,36 years,405752,398163,81305,80295
2014,37 years,401980,394331,81662,79981
2014,38 years,392625,387316,81012,79983
2014,39 years,381005,374438,81218,79814
2014,40 years,386083,382318,81594,80184
2014,41 years,392830,388661,79053,78639
2014,42 years,435638,429791,78428,76989
2014,43 years,491456,483377,76517,74170
2014,44 years,513223,506037,76322,72969
2014,45 years,562127,552031,74388,68948
2014,46 years,595449,584984,71845,65763
2014,47 years,618845,609172,66591,60290
2014,48 years,639366,628751,66179,59156
2014,49 years,644106,631590,65300,57543
2014,50 years,658264,648608,63257,55060
2014,51 years,655611,648230,58880,50603
2014,52 years,635104,630489,54261,48238
2014,53 years,628853,627664,48128,43749
2014,54 years,604529,604770,47917,44437
2014,55 years,590701,591434,43295,40194
2014,56 years,556169,558847,40949,38004
2014,57 years,542056,548143,39544,36334
2014,58 years,522776,532221,39818,37392
2014,59 years,504898,516847,35527,37983
2014,60 years,492863,510700,31577,37680
2014,61 years,475419,496049,27979,36270
2014,62 years,471772,493404,28571,37902
2014,63 years,460871,485372,27404,34608
2014,64 years,453881,480095,31792,38768
2015,15 years,377894,359111,36536,28674
2015,16 years,367587,347555,55682,40470
2015,17 years,374876,356005,58571,41590
2015,18 years,387036,368033,72496,45606
2015,19 years,382101,362261,76691,51189
2015,20 years,370566,351999,84211,58083
2015,21 years,375181,356582,87464,63687
2015,22 years,388748,370374,91219,67714
2015,23 years,394970,378700,95334,71579
2015,24 years,411486,394061,99389,76531
2015,25 years,455184,434947,108910,82467
2015,26 years,447538,429467,107901,84701
2015,27 years,461631,440973,110247,86226
2015,28 years,453282,432867,106369,84933
2015,29 years,444969,428791,102684,83594
2015,30 years,428559,413941,101705,84078
2015,31 years,428405,413053,97806,84150
2015,32 years,430868,416469,94845,84092
2015,33 years,440278,426265,96067,86610
2015,34 years,434571,425073,93965,87060
2015,35 years,432973,426211,97598,89183
2015,36 years,411460,404704,92521,87000
2015,37 years,406418,399290,90833,85269
2015,38 years,402836,395441,90382,84869
2015,39 years,392959,388300,89300,84197
2015,40 years,381506,375454,89358,84135
2015,41 years,386333,383309,88905,84247
2015,42 years,393133,389449,85475,82627
2015,43 years,435761,430360,84673,80477
2015,44 years,491238,483857,82426,77365
2015,45 years,512899,506458,81949,76024
2015,46 years,561522,552147,79457,71967
2015,47 years,594538,584878,76547,68703
2015,48 years,617696,608909,70667,62698
2015,49 years,637805,628241,69465,61134
2015,50 years,642253,630918,68205,59536
2015,51 years,656177,647759,65764,56517
2015,52 years,653094,647180,61133,52103
2015,53 years,632374,629172,56274,49580
2015,54 years,625762,626241,49791,44932
2015,55 years,601108,603111,49447,45730
2015,56 years,586929,589583,44245,41009
2015,57 years,552369,556970,41954,38851
2015,58 years,537769,546045,40184,36914
2015,59 years,518189,530067,40297,37869
2015,60 years,500068,514404,36012,38412
2015,61 years,487640,507954,31744,37759
2015,62 years,469974,493239,28061,36369
2015,63 years,465647,490349,28404,37855
2015,64 years,454554,482085,27154,34372
2016,15 years,363815,344232,37551,29263
2016,16 years,378470,359579,46706,32420
2016,17 years,368500,348536,69171,43451
2016,18 years,375620,357022,73080,46927
2016,19 years,387662,369228,86823,54813
2016,20 years,381661,362663,90354,62191
2016,21 years,369377,351967,95099,67428
2016,22 years,373518,356301,98699,71809
2016,23 years,386370,369801,102526,77160
2016,24 years,392348,378023,105978,80758
2016,25 years,408528,393032,109307,85264
2016,26 years,451635,433611,117983,90784
2016,27 years,444262,428244,116299,92701
2016,28 years,458471,439830,117691,92899
2016,29 years,450270,432052,112659,91234
2016,30 years,442185,428427,108074,89517
2016,31 years,426133,413840,106854,89501
2016,32 years,426009,413214,102077,88587
2016,33 years,428897,416890,98272,88122
2016,34 years,438427,426851,99252,89946
2016,35 years,432940,425697,96647,90179
2016,36 years,431309,426883,100132,92126
2016,37 years,410060,405327,94857,89420
2016,38 years,405029,399890,92836,87835
2016,39 years,401595,396000,92201,87075
2016,40 years,391629,388943,90960,86345
2016,41 years,380296,375988,90948,85891
2016,42 years,385202,383768,90180,86034
2016,43 years,391932,389904,86858,84330
2016,44 years,434393,430574,85959,81852
2016,45 years,489521,483830,83600,78859
2016,46 years,511106,506323,82942,77371
2016,47 years,559283,551697,80159,73192
2016,48 years,592105,584210,77549,69907
2016,49 years,614988,608013,71490,63767
2016,50 years,634767,627158,70075,61957
2016,51 years,639032,629723,68736,60262
2016,52 years,652727,646330,65849,57045
2016,53 years,649336,645594,61222,52580
2016,54 years,628366,627522,56142,49884
2016,55 years,621372,624275,49596,45165
2016,56 years,596716,600975,49403,46026
2016,57 years,582114,587329,44043,41069
2016,58 years,547473,554624,41718,38769
2016,59 years,532472,543425,39840,36722
2016,60 years,512748,527439,39726,37740
2016,61 years,494615,511648,35396,38113
2016,62 years,481799,504984,31238,37496
2016,63 years,463642,490084,27463,35958
2016,64 years,458974,486879,27856,37482
