"Country","Year","Trade balance of goods","FDI net balance","Ratio of migrant to native workers"
"SK",1999,21187.273537,74.8668,NA
"UK",1999,-49890.59,-113392.4541,0.0985
"AT",2000,-4699.212851,2991.52386,0.1383
"BE",2000,10833.176,NA,0.1295
"BG",2000,-1682.844461,1013.44574,NA
"CY",2000,-2865.762147,668.97365,0.1258
"CZ",2000,61295.453293,4942.36549,NA
"DE",2000,48776.715,141193.39506,0.1107
"DK",2000,4568.983053,7274.40079,0.062
"EE",2000,-1221.828177,329.8268,0.2328
"ES",2000,-41626.970960634,-18638.16197,0.0433
"FI",2000,11588.532898,-15196.21153,0.0054
"FR",2000,-8412.431107,-134452.6534,0.1375
"GR",2000,-18639.437382,-1028.37663,0.0559
"HR",2000,-3454.91427,941.91619,NA
"HU",2000,-3987.76,2143.58085,NA
"IE",2000,26827.430132229,21150.72784,0.0811
"IT",2000,8742.88496618799,6688.87783,NA
"LT",2000,-1647.069165,375.175,0.0637
"LU",2000,-2893.007,NA,0.6252
"LV",2000,-1054.783009402,318.68435,NA
"MT",2000,-957.196511,561.52755,NA
"NL",2000,14497.515845,-11779.43615,0.1525
"PL",2000,-17171.707,9428.28808,NA
"PT",2000,-15551.174641,-1495.18979,0.0564
"RO",2000,-2687.96667751,1069.65174,NA
"SE",2000,14170.83584,-17474.11114,0.1396
"SI",2000,-1382.532572,71.2705,NA
"SK",2000,24658.674367,2679.73558,NA
"UK",2000,-79803.644048,-117440.39847,0.1007
"AT",2001,-3999.147207,2667.53765,0.1527
"BE",2001,11684.678,NA,0.1389
"BG",2001,-2164.270725,800.64071,NA
"CY",2001,-2927.522264,683.20053,0.1405
"CZ",2001,69860.863923,5476.38904,NA
"DE",2001,85404.652,-13487.42562,0.1128
"DK",2001,6348.668582,-1838.31923,0.0572
"EE",2001,-1211.011701,337.50212,0.2371
"ES",2001,-38843.728656401,-4698.23186,0.0566
"FI",2001,11032.080471,-4638.89584,0.0229
"FR",2001,-4266.535757,-36876.91564,0.1403
"GR",2001,-18032.064748,973.23514,0.0616
"HR",2001,-4481.221724,890.75623,NA
"HU",2001,-3184.015,3527.2104,0.0142
"IE",2001,32497.707456828,5585.63234,0.0874
"IT",2001,14655.12451947,-1132.77913,NA
"LT",2001,-1770.221193,438.715,0.0644
"LU",2001,-2572.482,NA,0.6078
"LV",2001,-1204.433130511,91.0059,NA
"MT",2001,-966.814158,226.49209,NA
"NL",2001,20595.661153,1334.4847,0.1404
"PL",2001,-14080.293,5790.07792,NA
"PT",2001,-15369.954332,-84.1844799999999,0.061
"RO",2001,-4166.61645337,1142.71908,NA
"SE",2001,12767.044861,3612.93225,0.1392
"SI",2001,-893.874448,214.24506,NA
"SK",2001,27405.60539,2182.16481,NA
"UK",2001,-79277.486259,-21258.03456,0.105
"AT",2002,316.468809,-5642.08743,0.1515
"BE",2002,17708.374859,3973.46008,0.142
"BG",2002,-2238.176472,894.996,NA
"CY",2002,-3246.295517,529.83024,0.1514
"CZ",2002,92494.370035,8275.58379,0.0203
"DE",2002,125547.335,34579.73836,0.1143
"DK",2002,6388.631422,937.33652,0.0703
"EE",2002,-1523.434175,157.09755,0.215
"ES",2002,-40023.900999992,6507.84339,0.0795
"FI",2002,11077.69073,674.82,0.0249
"FR",2002,1060.437465,-1785.1527,0.141
"GR",2002,-20971.674615,-612.91892,0.0535
"HR",2002,-5818.46064,395.67267,NA
"HU",2002,-3274.989,2457.23826,0.0135
"IE",2002,36791.589994465,18298.43302,0.0966
"IT",2002,13462.560768948,5683.28267,NA
"LT",2002,-2233.666141,708.31883,0.061
"LU",2002,-2935.888169,-5974.30043,0.6059
"LV",2002,-1464.574301485,207.04908,NA
"MT",2002,-712.912437,-392.44666,NA
"NL",2002,25705.734871,-6979.34215,0.1502
"PL",2002,-14012.44,3894.08901,NA
"PT",2002,-14206.502685,1943.53301,0.0615
"RO",2002,-3985.77008909,1119.94729,NA
"SE",2002,15862.735835,1672.75224,0.1456
"SI",2002,-575.302716,1418.07068,0.0785
"SK",2002,31105.152659,5849.25886,NA
"UK",2002,-86063.244215,-34119.02768,0.1085
"AT",2003,-2338.590474,-664.76004,0.1609
"BE",2003,20631.466444,-4846.31515,0.1471
"BG",2003,-3346.404297,2062.23237,NA
"CY",2003,-3543.294409,319.48836,0.1644
"CZ",2003,99959.693758,1896.57202,0.0232
"DE",2003,146770.245,26808.68003,0.1153
"DK",2003,8386.972428,1472.44777,0.0769
"EE",2003,-2314.99397,772.9726,0.1897
"ES",2003,-53304.419376919,-2898.15289,0.0972
"FI",2003,10916.05491,5598.43076,0.0278
"FR",2003,-4385.58619,-10585.59265,0.1234
"GR",2003,-31199.453995,862.94657,0.0726
"HR",2003,-8022.404415,1669.62179,NA
"HU",2003,-4670.886,-14.69031,0.0177
"IE",2003,38531.786093433,17231.84438,0.1135
"IT",2003,9776.51576043903,17250.77367,NA
"LT",2003,-2641.251949,142.41376,0.054
"LU",2003,-3659.320758,3440.40992,0.6497
"LV",2003,-2154.13570823,234.75398,NA
"MT",2003,-935.397917,415.00567,NA
"NL",2003,30799.79282,-22988.39547,0.1446
"PL",2003,-14390.611,4282.76096,NA
"PT",2003,-15332.584617,1212.67129,0.0661
"RO",2003,-6384.79967432,2078.92699,NA
"SE",2003,18211.493859,-16142.11692,0.1512
"SI",2003,-1085.537389,-203.9617,0.0769
"SK",2003,44517.729104,2635.9598,0.0092
"UK",2003,-113309.591339,-47613.6052,0.1151
"AT",2004,-431.389842,-4846.24984,0.1814
"BE",2004,21212.181665,9539.77389,0.146
"BG",2004,-4536.013224,3602.73913,NA
"CY",2004,-4558.936883,76.9311600000001,0.2012
